Date,Gas Price,Oil Barrel Price,City
2020-06-29,2.26,39.67,utica
2020-06-29,2.26,39.67,watertown
2020-06-22,2.20,40.6,albany
2020-06-22,2.17,40.6,binghamton
2020-06-22,2.19,40.6,buffalo
2020-06-22,2.03,40.6,elmira
2020-06-22,2.25,40.6,glens_falls
2020-06-22,2.13,40.6,ithica
2020-06-22,2.13,40.6,kingston
2020-06-22,2.32,40.6,nyc
2020-06-22,2.21,40.6,rochester
2020-06-22,2.12,40.6,syracuse
2020-06-22,2.25,40.6,utica
2020-06-22,2.23,40.6,watertown
2020-06-15,2.19,37.07,albany
2020-06-15,2.16,37.07,binghamton
2020-06-15,2.19,37.07,buffalo
2020-06-15,2.02,37.07,elmira
2020-06-15,2.23,37.07,glens_falls
2020-06-15,2.13,37.07,ithica
2020-06-15,2.13,37.07,kingston
2020-06-15,2.31,37.07,nyc
2020-06-15,2.21,37.07,rochester
2020-06-15,2.11,37.07,syracuse
2020-06-15,2.23,37.07,utica
2020-06-15,2.22,37.07,watertown
2020-06-08,2.16,38.17,albany
2020-06-08,2.16,38.17,binghamton
2020-06-08,2.20,38.17,buffalo
2020-06-08,1.97,38.17,elmira
2020-06-08,2.20,38.17,glens_falls
2020-06-08,2.11,38.17,ithica
2020-06-08,2.12,38.17,kingston
2020-06-08,2.28,38.17,nyc
2020-06-08,2.20,38.17,rochester
2020-06-08,2.10,38.17,syracuse
2020-06-08,2.20,38.17,utica
2020-06-08,2.19,38.17,watertown
2020-06-01,2.14,35.49,albany
2020-06-01,2.16,35.49,binghamton
2020-06-01,2.20,35.49,buffalo
2020-06-01,1.97,35.49,elmira
2020-06-01,2.18,35.49,glens_falls
2020-06-01,2.11,35.49,ithica
2020-06-01,2.11,35.49,kingston
2020-06-01,2.27,35.49,nyc
2020-06-01,2.20,35.49,rochester
2020-06-01,2.09,35.49,syracuse
2020-06-01,2.18,35.49,utica
2020-06-01,2.18,35.49,watertown
2020-05-25,2.13,-999,albany
2020-05-25,2.16,-999,binghamton
2020-05-25,2.20,-999,buffalo
2020-05-25,1.96,-999,elmira
2020-05-25,2.16,-999,glens_falls
2020-05-25,2.11,-999,ithica
2020-05-25,2.10,-999,kingston
2020-05-25,2.27,-999,nyc
2020-05-25,2.20,-999,rochester
2020-05-25,2.08,-999,syracuse
2020-05-25,2.15,-999,utica
2020-05-25,2.17,-999,watertown
2020-05-18,2.10,31.83,albany
2020-05-18,2.17,31.83,binghamton
2020-05-18,2.20,31.83,buffalo
2020-05-18,1.95,31.83,elmira
2020-05-18,2.11,31.83,glens_falls
2020-05-18,2.12,31.83,ithica
2020-05-18,2.09,31.83,kingston
2020-05-18,2.26,31.83,nyc
2020-05-18,2.19,31.83,rochester
2020-05-18,2.06,31.83,syracuse
2020-05-18,2.12,31.83,utica
2020-05-18,2.13,31.83,watertown
2020-05-11,2.09,24.02,albany
2020-05-11,2.16,24.02,binghamton
2020-05-11,2.21,24.02,buffalo
2020-05-11,1.94,24.02,elmira
2020-05-11,2.09,24.02,glens_falls
2020-05-11,2.13,24.02,ithica
2020-05-11,2.10,24.02,kingston
2020-05-11,2.27,24.02,nyc
2020-05-11,2.19,24.02,rochester
2020-05-11,2.06,24.02,syracuse
2020-05-11,2.11,24.02,utica
2020-05-11,2.12,24.02,watertown
2020-05-04,2.10,20.47,albany
2020-05-04,2.18,20.47,binghamton
2020-05-04,2.22,20.47,buffalo
2020-05-04,1.94,20.47,elmira
2020-05-04,2.09,20.47,glens_falls
2020-05-04,2.15,20.47,ithica
2020-05-04,2.11,20.47,kingston
2020-05-04,2.29,20.47,nyc
2020-05-04,2.19,20.47,rochester
2020-05-04,2.08,20.47,syracuse
2020-05-04,2.12,20.47,utica
2020-05-04,2.14,20.47,watertown
2020-04-27,2.14,12.17,albany
2020-04-27,2.21,12.17,binghamton
2020-04-27,2.25,12.17,buffalo
2020-04-27,1.95,12.17,elmira
2020-04-27,2.12,12.17,glens_falls
2020-04-27,2.22,12.17,ithica
2020-04-27,2.16,12.17,kingston
2020-04-27,2.31,12.17,nyc
2020-04-27,2.21,12.17,rochester
2020-04-27,2.11,12.17,syracuse
2020-04-27,2.16,12.17,utica
2020-04-27,2.17,12.17,watertown
2020-04-20,2.19,-36.98,albany
2020-04-20,2.26,-36.98,binghamton
2020-04-20,2.28,-36.98,buffalo
2020-04-20,1.97,-36.98,elmira
2020-04-20,2.18,-36.98,glens_falls
2020-04-20,2.26,-36.98,ithica
2020-04-20,2.21,-36.98,kingston
2020-04-20,2.34,-36.98,nyc
2020-04-20,2.23,-36.98,rochester
2020-04-20,2.16,-36.98,syracuse
2020-04-20,2.22,-36.98,utica
2020-04-20,2.21,-36.98,watertown
2020-04-13,2.23,22.36,albany
2020-04-13,2.29,22.36,binghamton
2020-04-13,2.32,22.36,buffalo
2020-04-13,1.99,22.36,elmira
2020-04-13,2.22,22.36,glens_falls
2020-04-13,2.29,22.36,ithica
2020-04-13,2.25,22.36,kingston
2020-04-13,2.37,22.36,nyc
2020-04-13,2.25,22.36,rochester
2020-04-13,2.21,22.36,syracuse
2020-04-13,2.26,22.36,utica
2020-04-13,2.27,22.36,watertown
2020-04-06,2.27,26.21,albany
2020-04-06,2.32,26.21,binghamton
2020-04-06,2.35,26.21,buffalo
2020-04-06,2.01,26.21,elmira
2020-04-06,2.26,26.21,glens_falls
2020-04-06,2.36,26.21,ithica
2020-04-06,2.29,26.21,kingston
2020-04-06,2.40,26.21,nyc
2020-04-06,2.29,26.21,rochester
2020-04-06,2.26,26.21,syracuse
2020-04-06,2.30,26.21,utica
2020-04-06,2.31,26.21,watertown
2020-03-30,2.31,14.1,albany
2020-03-30,2.36,14.1,binghamton
2020-03-30,2.39,14.1,buffalo
2020-03-30,2.10,14.1,elmira
2020-03-30,2.32,14.1,glens_falls
2020-03-30,2.42,14.1,ithica
2020-03-30,2.33,14.1,kingston
2020-03-30,2.44,14.1,nyc
2020-03-30,2.35,14.1,rochester
2020-03-30,2.31,14.1,syracuse
2020-03-30,2.35,14.1,utica
2020-03-30,2.36,14.1,watertown
2020-03-23,2.41,23.33,albany
2020-03-23,2.40,23.33,binghamton
2020-03-23,2.43,23.33,buffalo
2020-03-23,2.22,23.33,elmira
2020-03-23,2.41,23.33,glens_falls
2020-03-23,2.51,23.33,ithica
2020-03-23,2.40,23.33,kingston
2020-03-23,2.50,23.33,nyc
2020-03-23,2.42,23.33,rochester
2020-03-23,2.37,23.33,syracuse
2020-03-23,2.46,23.33,utica
2020-03-23,2.42,23.33,watertown
2020-03-16,2.52,28.96,albany
2020-03-16,2.45,28.96,binghamton
2020-03-16,2.48,28.96,buffalo
2020-03-16,2.31,28.96,elmira
2020-03-16,2.55,28.96,glens_falls
2020-03-16,2.56,28.96,ithica
2020-03-16,2.48,28.96,kingston
2020-03-16,2.57,28.96,nyc
2020-03-16,2.48,28.96,rochester
2020-03-16,2.43,28.96,syracuse
2020-03-16,2.55,28.96,utica
2020-03-16,2.51,28.96,watertown
2020-03-09,2.56,31.05,albany
2020-03-09,2.49,31.05,binghamton
2020-03-09,2.52,31.05,buffalo
2020-03-09,2.37,31.05,elmira
2020-03-09,2.60,31.05,glens_falls
2020-03-09,2.60,31.05,ithica
2020-03-09,2.52,31.05,kingston
2020-03-09,2.63,31.05,nyc
2020-03-09,2.54,31.05,rochester
2020-03-09,2.49,31.05,syracuse
2020-03-09,2.60,31.05,utica
2020-03-09,2.56,31.05,watertown
2020-03-02,2.59,46.78,albany
2020-03-02,2.52,46.78,binghamton
2020-03-02,2.54,46.78,buffalo
2020-03-02,2.44,46.78,elmira
2020-03-02,2.62,46.78,glens_falls
2020-03-02,2.62,46.78,ithica
2020-03-02,2.54,46.78,kingston
2020-03-02,2.66,46.78,nyc
2020-03-02,2.58,46.78,rochester
2020-03-02,2.53,46.78,syracuse
2020-03-02,2.62,46.78,utica
2020-03-02,2.60,46.78,watertown
2020-02-24,2.60,51.36,albany
2020-02-24,2.52,51.36,binghamton
2020-02-24,2.55,51.36,buffalo
2020-02-24,2.48,51.36,elmira
2020-02-24,2.63,51.36,glens_falls
2020-02-24,2.63,51.36,ithica
2020-02-24,2.54,51.36,kingston
2020-02-24,2.67,51.36,nyc
2020-02-24,2.56,51.36,rochester
2020-02-24,2.48,51.36,syracuse
2020-02-24,2.62,51.36,utica
2020-02-24,2.61,51.36,watertown
2020-02-17,2.61,-999,albany
2020-02-17,2.54,-999,binghamton
2020-02-17,2.56,-999,buffalo
2020-02-17,2.49,-999,elmira
2020-02-17,2.63,-999,glens_falls
2020-02-17,2.64,-999,ithica
2020-02-17,2.55,-999,kingston
2020-02-17,2.67,-999,nyc
2020-02-17,2.58,-999,rochester
2020-02-17,2.50,-999,syracuse
2020-02-17,2.62,-999,utica
2020-02-17,2.63,-999,watertown
2020-02-10,2.62,49.59,albany
2020-02-10,2.58,49.59,binghamton
2020-02-10,2.58,49.59,buffalo
2020-02-10,2.50,49.59,elmira
2020-02-10,2.64,49.59,glens_falls
2020-02-10,2.65,49.59,ithica
2020-02-10,2.59,49.59,kingston
2020-02-10,2.70,49.59,nyc
2020-02-10,2.60,49.59,rochester
2020-02-10,2.52,49.59,syracuse
2020-02-10,2.63,49.59,utica
2020-02-10,2.65,49.59,watertown
2020-02-03,2.64,50.06,albany
2020-02-03,2.62,50.06,binghamton
2020-02-03,2.60,50.06,buffalo
2020-02-03,2.52,50.06,elmira
2020-02-03,2.65,50.06,glens_falls
2020-02-03,2.66,50.06,ithica
2020-02-03,2.63,50.06,kingston
2020-02-03,2.73,50.06,nyc
2020-02-03,2.63,50.06,rochester
2020-02-03,2.56,50.06,syracuse
2020-02-03,2.66,50.06,utica
2020-02-03,2.68,50.06,watertown
2020-01-27,2.66,53.09,albany
2020-01-27,2.66,53.09,binghamton
2020-01-27,2.62,53.09,buffalo
2020-01-27,2.57,53.09,elmira
2020-01-27,2.67,53.09,glens_falls
2020-01-27,2.67,53.09,ithica
2020-01-27,2.67,53.09,kingston
2020-01-27,2.76,53.09,nyc
2020-01-27,2.66,53.09,rochester
2020-01-27,2.60,53.09,syracuse
2020-01-27,2.68,53.09,utica
2020-01-27,2.70,53.09,watertown
2020-01-20,2.67,-999,albany
2020-01-20,2.69,-999,binghamton
2020-01-20,2.63,-999,buffalo
2020-01-20,2.61,-999,elmira
2020-01-20,2.69,-999,glens_falls
2020-01-20,2.69,-999,ithica
2020-01-20,2.69,-999,kingston
2020-01-20,2.78,-999,nyc
2020-01-20,2.68,-999,rochester
2020-01-20,2.62,-999,syracuse
2020-01-20,2.69,-999,utica
2020-01-20,2.71,-999,watertown
2020-01-13,2.68,58.17,albany
2020-01-13,2.71,58.17,binghamton
2020-01-13,2.65,58.17,buffalo
2020-01-13,2.63,58.17,elmira
2020-01-13,2.69,58.17,glens_falls
2020-01-13,2.70,58.17,ithica
2020-01-13,2.70,58.17,kingston
2020-01-13,2.79,58.17,nyc
2020-01-13,2.69,58.17,rochester
2020-01-13,2.64,58.17,syracuse
2020-01-13,2.70,58.17,utica
2020-01-13,2.72,58.17,watertown
2020-01-06,2.66,63.27,albany
2020-01-06,2.69,63.27,binghamton
2020-01-06,2.65,63.27,buffalo
2020-01-06,2.66,63.27,elmira
2020-01-06,2.67,63.27,glens_falls
2020-01-06,2.69,63.27,ithica
2020-01-06,2.67,63.27,kingston
2020-01-06,2.78,63.27,nyc
2020-01-06,2.70,63.27,rochester
2020-01-06,2.64,63.27,syracuse
2020-01-06,2.68,63.27,utica
2020-01-06,2.71,63.27,watertown

